variant,group,label,mqar_test_acc,mqar_val_acc_extrap,mqar_runs,pretrain_val_ppl,pretrain_runs
a1_k_norm_only,ab1_norm,KNormOnly,97.80539870262146,77.6827335357666,1,3809.7120050484086,1
a1_kla,ab1_norm,KLA,98.38960766792297,73.84058237075806,1,753.6524615701337,1
a1_learned_norm,ab1_norm,LearnedNorm,97.77491688728333,74.45967197418213,1,22968.86908447759,2
a1_no_norm,ab1_norm,NoNorm,0.03217394114471972,0.006301197572611272,1,,1
a1_seq_only,ab1_norm,SeqOnly1OverT,97.19578623771667,85.01890301704407,1,1074.1918216221036,1
a2_inv_log_t,ab2_seq_factor,OneOverLogT,97.56324887275696,84.67549085617065,1,2083.4567958083717,1
a2_inv_sqrt_t,ab2_seq_factor,OneOverSqrtT,99.02462363243103,50.23787021636963,1,1148.391223396536,1
a2_inv_t,ab2_seq_factor,OneOverT,97.92054891586304,20.469439029693604,1,4660.999759390962,1
a2_no_seq_factor,ab2_seq_factor,NoSeqFactor,98.38960766792297,73.84058237075806,1,753.6524615701337,1
a3_gdn_dual_gate,ab3_gate,GDN_DualGate,98.72151017189026,66.80529117584229,1,747.2375020120529,1
a3_gla_independent_gate,ab3_gate,GLA_IndependentGate,0.02540048153605312,0.02520479029044509,1,356.0049683840614,1
a3_kla_single_gate,ab3_gate,KLA_SingleGate,0.011853557953145355,0.031505984952673316,1,2104.61312368615,1
a4_expand_v16,ab4_state,StateExpandV16,99.1753339767456,92.63390302658081,1,1383.3806095801274,1
a4_expand_v2,ab4_state,StateExpandV2,98.0864942073822,71.99432849884033,1,762.33341334805,1
a4_expand_v4,ab4_state,StateExpandV4,98.8772988319397,91.33743047714233,1,1669.3464362914085,1
a4_expand_v8,ab4_state,StateExpandV8,95.31106948852539,95.37334442138672,1,6945.631019892673,1
