variant,pretrain_val_ppl,pretrain_runs
a1_k_norm_only,3809.7120050484086,1
a1_kla,753.6524615701337,1
a1_learned_norm,22968.86908447759,2
a1_no_norm,,1
a1_seq_only,1074.1918216221036,1
a2_inv_log_t,2083.4567958083717,1
a2_inv_sqrt_t,1148.391223396536,1
a2_inv_t,4660.999759390962,1
a2_no_seq_factor,753.6524615701337,1
a3_gdn_dual_gate,747.2375020120529,1
a3_gla_independent_gate,356.0049683840614,1
a3_kla_single_gate,2104.61312368615,1
a4_expand_v16,1383.3806095801274,1
a4_expand_v2,762.33341334805,1
a4_expand_v4,1669.3464362914085,1
a4_expand_v8,6945.631019892673,1
