Model,Phase,Context Length,Batch Size,New Tokens,Latency Mean (ms),Latency P50 (ms),Latency P90 (ms),Latency Std (ms),Latency/Token (ms),Tokens/s,Peak Allocated MiB,Peak Reserved MiB,Num Runs
GDN,prefill,4096,1,0,37.31378478308519,37.568767555058,37.721906788647175,0.4730354924725909,,109771.76461222365,1258.41064453125,1746.0,1
GDN,prefill,8192,1,0,72.00184557586908,71.82836532592773,72.47364055365324,0.3374796660689324,,113774.86138696272,1521.44189453125,2344.0,1
GDN,prefill,16384,1,0,138.05369256685177,139.0427779406309,140.5085874721408,2.5077080528674065,,118678.46267180529,2048.50439453125,3538.0,1
GDN,prefill,32768,1,0,274.30112349490327,274.6178302913904,274.97632429003716,0.7164914465658709,,119459.95547702836,3099.62939453125,5922.0,1
GDN,prefill,65536,1,0,550.1274646570286,550.5248298868537,550.9926788508892,0.9129807460998215,,119128.7550801663,5203.87939453125,11458.0,1
GDN,prefill,131072,1,0,1227.427980241676,1248.411662876606,1313.788641244173,80.45969346337661,,106785.89873288729,9412.37939453125,20994.0,1
KLA,prefill,4096,1,0,37.23525411138932,37.18374017626047,37.423381581902504,0.13748804641902013,,110003.27774712669,1258.41064453125,1744.0,1
KLA,prefill,8192,1,0,71.5981861576438,72.4113192409277,73.78148846328259,2.1913937276633426,,114416.3063288081,1521.44189453125,2342.0,1
KLA,prefill,16384,1,0,140.54064359515905,140.2702508494258,141.19871892035007,0.4677866867798692,,116578.37605465719,2048.50439453125,3728.0,1
KLA,prefill,32768,1,0,276.52466514458257,276.60204470157623,276.6795698553324,0.16727128294490948,,118499.37502995277,3099.62939453125,6496.0,1
KLA,prefill,65536,1,0,552.0969772090515,551.5587981790304,553.6969127133489,1.1513408265921405,,118703.78340286546,5203.87939453125,12032.0,1
KLA,prefill,131072,1,0,1220.3962632144492,1261.9359381496906,1288.3984381332994,78.20753854728633,,107401.18103505526,9412.37939453125,21568.0,1
Mamba2,prefill,4096,1,0,68.59249000747998,68.43633949756622,69.06167697161436,0.337891112012422,,59714.992115803536,963.064453125,1946.0,1
Mamba2,prefill,8192,1,0,124.85171264658372,124.80380572378635,125.00076740980148,0.10761549038363195,,65613.83761862361,1237.095703125,2446.0,1
Mamba2,prefill,16384,1,0,239.2159237836798,238.31001110374928,242.34414752572775,2.276336824870228,,68490.4238014517,1785.158203125,3446.0,1
Mamba2,prefill,32768,1,0,476.74331720918417,479.28543388843536,487.9589332267642,10.352577920855975,,68733.00331050502,2881.283203125,5446.0,1
Mamba2,prefill,65536,1,0,953.4388907874624,945.4946517944336,978.0589742586017,17.770230090072477,,68736.44512851017,5073.533203125,9446.0,1
Mamba2,prefill,131072,1,0,1936.174927900235,1939.8409519344568,1954.3409086763859,16.53359230797642,,67696.3626123113,9458.033203125,17446.0,1
