Model,Context Length,Loss,PPL,Mean Num Batches,Num Runs
GDN,1024,3.759087562561035,42.909256099705004,15.0,1
GDN,2048,3.7728447914123535,43.503647772257374,15.0,1
GDN,4096,3.7798149585723877,43.807934702750494,15.0,1
GDN,8192,3.8594446182250977,47.43899729672702,15.0,1
GDN,16384,3.9003710746765137,49.42078450504182,15.0,1
GDN,32768,3.880253553390503,48.4364947519705,15.0,1
GDN,65536,3.861663579940796,47.54437949184782,15.0,1
KLA,1024,3.665112018585205,39.06051142126646,15.0,1
KLA,2048,3.682675361633301,39.7526045265092,15.0,1
KLA,4096,3.6881744861602783,39.971811219114706,15.0,1
KLA,8192,3.774627208709717,43.581258573414736,15.0,1
KLA,16384,3.812623977661133,45.26906818156474,15.0,1
KLA,32768,3.7945261001586914,44.457163170050336,15.0,1
KLA,65536,3.774512529373169,43.576260990160854,15.0,1
Mamba2,1024,3.910310983657837,49.91447214514959,15.0,1
Mamba2,2048,3.9290616512298584,50.8592315740621,15.0,1
Mamba2,4096,3.9555139541625977,52.22252703350234,15.0,1
Mamba2,8192,4.032508373260498,56.40221175563219,15.0,1
Mamba2,16384,4.0726847648620605,58.71438549466882,15.0,1
Mamba2,32768,4.048048973083496,57.28558223268482,15.0,1
Mamba2,65536,4.037190914154053,56.666936727717896,15.0,1
